"Equality"      11805   10907   150    7.60 
"Join"		6161	5278	150	14
"Range"		3196	2921	150	12.50
"Sum"		9906	126	150	98.70
"Delete"	4286	3855	150	10
"Insert"	6167	5739	5923	6.90
"Up.set"	3990	3552	150	11
"Up.inc"	1012    644     150     36
